edad,credito,cumplio
18,136847,1
21,742883,1
21,558040,0
57,878531,0
27,213536,1
37,74892,0
39,561218,0
54,49774,1
41,293795,0
24,328029,0
42,150069,0
42,461396,1
30,888359,0
19,887200,1
56,601786,0
57,66003,1
41,351115,0
42,430225,1
35,177743,1
55,466155,0
43,807014,0
31,819276,1
26,87917,0
27,41429,1
38,346619,0
34,865755,1
23,85727,0
33,325953,0
18,660481,0
36,703713,0
53,748347,1
42,662246,1
47,568978,0
37,222058,1
37,739108,0
32,78523,1
57,774871,1
50,116417,0
19,391490,1
27,129491,0
50,85119,0
49,495967,0
28,139253,0
41,46349,0
53,210650,1
29,176986,1
46,204816,0
52,599001,0
18,509501,0
18,197792,0
54,204471,1
23,910300,1
56,381624,0
58,312538,0
35,207997,1
33,266038,0
22,590701,1
59,123062,1
60,444424,1
49,426358,1
19,298048,1
19,947317,1
57,435257,1
59,849033,1
53,618792,1
56,115931,1
29,606512,1
36,334099,0
45,347232,0
18,533292,1
32,431836,1
53,900200,1
30,569809,1
60,744699,0
38,846623,0
29,585140,1
22,104490,0
24,287446,0
22,483285,1
21,610985,0
30,579801,1
54,765002,0
58,188617,1
32,122005,0
33,548277,0
38,136634,1
53,680957,0
41,159556,0
33,212781,0
31,882357,0
39,966906,0
23,96807,1
59,517139,0
53,538893,1
18,888159,0
49,391647,0
23,723843,1
48,96846,1
18,391510,1
54,195145,1
52,124542,0
47,626559,0
21,236746,1
52,372500,0
60,287715,1
31,974859,1
57,691561,1
39,81633,1
27,91157,0
18,524390,0
28,479565,1
41,785537,0
20,834321,0
52,349610,1
53,361880,1
48,344979,1
21,871681,0
36,481748,0
53,805795,0
38,421001,1
35,452129,1
45,66418,0
32,432952,1
59,879502,0
19,724936,0
54,599074,0
28,60508,1
40,618006,1
58,928208,0
29,337452,1
20,831611,0
34,553195,1
50,703552,0
18,143216,0
56,786195,1
37,948245,0
60,775846,0
58,327695,0
31,240728,0
48,398411,0
42,400896,1
20,451967,1
21,684047,1
48,841669,1
52,362738,1
31,385545,1
58,827440,1
26,668460,1
37,325487,0
49,46723,0
26,757396,0
44,712540,0
20,453841,1
21,835288,1
32,616802,1
50,735942,1
22,155022,0
21,930004,1
29,764108,0
40,756618,0
31,579836,1
29,311758,1
34,123035,1
42,681778,0
47,839179,1
39,560703,1
43,539520,1
34,937461,0
37,632389,1
51,106941,1
58,847032,1
50,161856,1
54,178311,1
24,771463,0
39,494445,0
49,892995,1
31,372668,0
25,42335,0
42,433428,0
33,186213,1
59,196818,0
36,167426,1
58,450470,0
33,272745,1
29,555155,0
56,276203,1
47,69275,1
19,417482,0
49,751917,1
42,139482,0
42,313835,0
21,707158,0
36,85357,1
21,334578,0
60,621411,1
30,676591,0
56,12724,1
53,774068,1
40,812746,0
23,724837,1
