edad,credito,cumplio
49,488139,0
44,409220,1
34,852544,0
21,152401,1
30,767186,1
59,561396,1
58,946410,1
38,439572,0
19,818886,1
52,534954,0
55,847405,1
35,112455,0
49,658368,1
26,570220,0
41,297050,0
59,334963,1
48,284518,0
30,786175,0
31,689520,1
21,510861,0
44,495457,0
28,361725,1
18,808383,1
36,756145,0
33,575283,1
36,291999,1
28,456138,1
18,220329,1
48,861862,1
56,493332,1
36,573844,0
36,663066,0
33,338963,1
36,850701,1
26,895735,1
41,361913,1
19,633757,1
40,556270,0
55,296582,0
27,625261,1
24,942027,0
60,810040,1
55,952945,0
59,550501,0
43,214139,0
57,584300,0
52,203921,0
40,538731,1
27,22064,0
21,795774,1
52,956241,0
58,176701,0
19,848561,0
34,362573,1
47,335776,1
60,65128,0
59,757378,1
40,414803,1
53,614698,1
24,580010,1
46,487144,1
56,725655,0
27,755738,0
39,922647,1
19,207266,0
23,64396,0
53,176881,1
20,458949,0
34,21946,1
54,974648,0
56,667473,0
60,848041,0
30,314213,1
40,347376,0
32,431150,0
46,115923,1
30,7582,1
31,172692,1
24,986327,1
47,888425,0
34,839653,0
18,128935,0
30,248372,1
29,645909,1
42,330089,1
18,234456,0
24,288160,1
60,963974,1
37,128747,1
25,130899,0
28,477513,0
37,261013,1
35,584467,1
22,58256,1
26,530467,1
43,168179,0
50,472781,1
32,32378,0
36,851258,1
59,969347,0
54,719664,0
29,952838,1
19,596696,1
48,423512,1
29,682141,0
31,14650,0
55,485534,0
54,330092,0
45,444357,1
20,917361,0
43,103013,0
26,422919,0
21,941065,1
31,225415,0
35,74587,0
45,508471,0
46,617633,1
42,631549,1
43,77628,0
54,902286,1
31,172737,1
25,525539,0
38,42301,1
38,722019,0
27,314060,1
40,84952,0
52,208356,0
41,222963,1
22,683862,1
24,772979,1
52,239857,1
49,474519,1
23,380989,1
53,413560,1
47,96026,0
35,169251,0
21,12333,1
60,942699,1
22,355884,0
31,712188,0
42,548554,0
45,819021,0
42,272765,0
23,458614,0
51,748285,0
27,157651,1
39,121350,0
52,377437,1
56,996112,1
24,365805,1
48,509971,1
46,610082,0
41,106855,0
60,752059,0
25,82861,1
24,971124,1
56,162339,0
30,551345,1
41,372829,0
47,376677,1
57,104208,1
30,249911,1
48,939895,1
59,522960,0
38,53479,0
51,764706,0
54,218921,1
48,273576,0
58,179403,0
48,885619,0
42,370821,1
22,659637,0
57,626968,1
34,658372,0
45,596684,1
59,142625,1
24,195067,0
34,844444,0
59,234328,1
30,380744,0
58,54705,0
30,469581,0
58,430061,1
22,652683,1
40,569486,0
29,937628,0
53,445111,0
26,140257,0
35,613045,0
60,925837,1
38,826040,0
47,461727,0
52,508965,1
42,154530,0
20,738163,0
20,525293,1
24,765013,0
55,435508,1
31,917652,1
56,487060,1
